Name,URL,Add.,Phone,Mobile,Email,Website,Contact Person,Purpose,Aims/Objectives/Mission,Error,Match_Status,Match_Confidence,Match_Evidence,AI_Verdict,AI_Reason
"Aalari Society, New Delhi",https://ngosindia.org/delhi-ngos/aalari-society-new-delhi/,"390, Pkt-II, Sector-19 New Delhi Pin: 110001 Delhi",,91-98180 95254,aalari_diya@yahoo.co.in,,Neelima Basumatary,,"Awareness, counseling, training and advocacy.",,no_website,,,,
"Aanandam Trust, Delhi",https://ngosindia.org/delhi-ngos/aanandam-trust-delhi/,,,99104 45519,aanandamtrust2015@gmail.com,www.aanandamtrust.org,Dr. Gajanand Arya Shastri,"Adolescent Girls Welfare, Child Welfare, Community Development, Development (General), Education, Employment, Health, Old Aged Welfare, Rural Development, Social Awareness, Training. Aim/Objective/Mission : Our aim is to provide literacy and basic health amenities to every economically weaker and rural population of India objective : to provide education economical weaker section and rural India. To provide basic health amenities to beneficiaries. To make the women industry by providing them education and employment opportunities. We have following programs to generate industry ready skilled workers beautician course computer education self employment tailoringapparel made -ups sector skill council affiliated old age programs includes library, cultural programs, yoga sessions. Women empowerment programs for overall development of weaker section. Food camps organization in the target areas. Health camps in target area.",,,likely_mismatch,3.6,KING88 cherung ⭐️TRANG CHỦ KING 88⭐️ CHÍNH THỨC T4/2026【KING88 VINA】,,
"Aapka Apna Samaj, New Delhi",https://ngosindia.org/delhi-ngos/aapka-apna-samaj-new-delhi-2/,,,95607 86369,aapka.apna.samaj@gmail.com,,Nitin Kumar Mittal,"Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Disaster Management, Education, Employment, Environment. Aim/Objective/Mission : Aims and objects the aims and objects for which the society established are as under to establish, promote, run and maintain an educational and professional/technical and vocation center etc and to promote and develop education, employment, science and technology and prosperity of humanity by way of establishment of different education, research training institutions & hospitals etc. To help needy/poor and intelligent students for their welfare by way of distribution of books, notebooks, cloths, uniforms or meals for poor & irdegent and to the persons suffer due to natural calamities. Special emphasis shall be done on welfare of woman and backward people etc. To run, maintain or assist any medical institution, nursing home or clinics or to grant assistance to needy & indigent persons for meeting the cost of medical treatment. To open charitable to uplift the poor section of society, to pay stipends [...]",,,no_website,,,,
"Aarambh Foundation, Delhi",https://ngosindia.org/delhi-ngos/aarambh-foundation-delhi/,,,99114 05330,aarambhfoundation.ngo@gmail.com,,Rashmeet Katre,"Adolescent girls welfare, advocacy on social issues, art and culture, awareness generation, child labour, child rights, child welfare, climate change, corporate social responsibility, e-learning, education, employment, environment, food and nutrition. Aim/Objective/Mission : Turning sorrows into smiles.",,,no_website,,,,
"Aarogya, Delhi",https://ngosindia.org/delhi-ngos/aarogya-delhi/,,,95400 83333,aarogyatrust@gmail.com,,Rishi Kant Singh,"Education, Environment, Health. Aim/Objective/Mission : Green & health environment.",,,no_website,,,,
"AAROHAN, Delhi",https://ngosindia.org/delhi-ngos/aarohan-delhi/,"B-127, Malviya Nagar Delhi Pin: 110017 Delhi",91-11-65951911,,aarohansociety@gmail.com,http://www.indianngoaarohan.org,Rani Patel,Education,"To strive hard and see that no child of the underprivileged community in the nct area be left illiterate. To strive for overall development of women and children in education and health particularly the weaker sections of society viz. Poor, underprivileged, sc, st and backwards. To work with and support poor and bright students for higher studies through academic assistance and career counseling. To motivate children and their parents to join the education system and to help them in the admission process. To provide them every facility related to their education and overall development.",,unreachable,,ConnectionError,,
"Aarth Astha, New Delhi",https://ngosindia.org/delhi-ngos/aarth-astha-new-delhi/,"Basti Vikas Kendra, Bal Mukund Khand, Giri Nagar, Kalkaji New Delhi Pin: 110019 Delhi","91-11-26449026, 91-11-26449029",91-99102 37904,aarthindia@gmail.com,http://www.asthaindia.in,Sudha Vohra,Disability,"ASTHA is an organization that has been working in the area of disability for the last fifteen years in Delhi. We work with a focus on research and training and information dissemination in the field of disability. Our work with people with disabilities and their families is mainly in the resettlement colonies in Delhi. The focus of our work has been on children with intellectual and multiple disabilities. A special focus on children with severe disability has enriched our work. Our vision and mission includes; To work towards a society where children and people with disabilities are respected and valued. To work in partnership with children and persons with disabilities, and their families.",,likely_match,100.0,Home - ASTHA,,
"AAS – An Association for Social Welfare, Delhi",https://ngosindia.org/delhi-ngos/aas-an-association-for-social-welfare-delhi/,"188-B, Katra Mashroo Delhi Pin: 110006 Delhi",91-11-23241826,,aas.delhi@gmail.com,,Ram Kishan Aggarwal,Physcially and handicapped childerns.,Our main aim and objective is to work for the Society. We help physcially and mentally disabled childerns in Delhi and NCR.,,no_website,,,,
"Aashray Adhikar Abhiyan, Delhi",https://ngosindia.org/delhi-ngos/aashray-adhikar-abhiyan-delhi/,"U 55/B, Lane 4, Shakarpur Delhi Pin: 110092 Delhi",91-11-22022440,,righttoshelter@hotmail.com,http://www.indev.nic.in/delhishomeless,Indu Prakash Singh,"Disadvantaged communities, human rights, urban development.","The main aim of AAA is to empower and mobilise the homeless so they are able to assert their rights and live with honour and dignity and to make citizens and public institutions of Delhi recognise that, the homeless have inalienable rights and that it is their responsibility to help the homeless live in dignity.",,unreachable,,ConnectionError,,
"Aayug Foundation, Delhi",https://ngosindia.org/delhi-ngos/aayug-foundation-delhi/,Delhi Delhi Pin: 110044 Delhi,,91-99900 22935,helpaayug@gmail.com,http://www.aayug.org,Manish Verma,Education and social awareness.,AAYUG Foundation – Age Awareness for You And Unsound Generation is an Indian Non Government organisation that catalyses change in the lives of underprivileged children and unsound generation by education and awareness in India by restoring their rights of education. To enable people to take responsibility for the situation of the deprived Indian child and so motivate them to confront the situation through collective action thereby giving the child and themselves an opportunity to realise their full potential,,unreachable,,ConnectionError,,
"AB Lincon Educational & Social Welfare Society, Delhi",https://ngosindia.org/delhi-ngos/ab-lincon-educational-social-welfare-society-delhi/,"226, Haddu Muhalla, Madanpur Khadar, Sarita Vihar South Delhi Pin: 110076 Delhi",91-11-26958165,91-93124 14034,alewss@ablincon.org,http://www.ablincon.org,Anoop Gupta,,"ALEWSS is a registered NGO and consistently working for supporting and imparting free education to the poor, helpless and underprivileged children/people and social welfare for last 10 years. We have established 5 educational centers where 2500 beneficiaries are educated through formal and non-formal education. We have been running our schools from last 10 years at Sarita vihar location, New Delhi and till date we educate more than 3000 underprivileged children totally free of cost and more than 5000 children with few amount of money.",,unreachable,,ConnectionError,,
"Abha Help Mission, Delhi",https://ngosindia.org/delhi-ngos/abha-help-mission-delhi/,"C 37, G.T.B. Hospital Campus Delhi Pin: 110095 Delhi",91-11-22577814,,abhahelpmission@yahoo.co.in,http://www.velmoc.com/ngo/abhahelpmission,"Binney John, Co-operation",,"To identify and work along with the economically deprived children & needy people by providing various training, skills, education help HIV/AIDS, health programme, awareness programme And also by serving the needy through old age care, orphanage, health edgucation and schools all over India.",,unreachable,,HTTPError,,
"ABHINANDAN, New Delhi",https://ngosindia.org/delhi-ngos/abhinandan-new-delhi/,"15/221, Malviya Nagar New Delhi Pin: 110017 Delhi",,91-98116 57087,manishabhatia2@gmail.com,,Manisha Bhatia,Education and welfare.,Its a education and welfare society.,,no_website,,,,
"Abhivyakti Foundation, Delhi",https://ngosindia.org/delhi-ngos/abhivyakti-foundation-delhi/,"403, Dreamland, 1/18-B, Central Delhi Pin: 110002 Delhi",91-11-23232102,,abhivyaktifoundation_2000@yahoo.co.in,http://www.abhivyaktifoundation.org,Shailendra Kumar Singh,,"Organization main objective edcation, health.",,unreachable,,ConnectionError,,
"Ability Unlimited, Delhi",https://ngosindia.org/delhi-ngos/ability-unlimited-delhi/,"D-168, 43, Patpar Ganj Delhi Pin: 110092 Delhi",,91-98113 40308,abilityunlimited@gmail.com,http://www.abilityunlimited.com,Guru Syed Sallauddin Pasha,Vocational training and proejcts for disabled.,"Through world’s first and historic first dance theatre performances/productions by the persons with disabilities created biggest awareness about the abilities of the persons with disabilities, because they dont need mercy – they need opportunity.",,likely_match,100.0,"[rev_slider alias=""slider-2""][/rev_slider] Our Vision Train persons with disabilities to become professional dancers, ch",,
"ABVSPS – Akhil Bhartiya Vedic Shikshan Avam Parshikshan Sansthan, Delhi",https://ngosindia.org/delhi-ngos/abvsps-akhil-bhartiya-vedic-shikshan-avam-parshikshan-sansthan-delhi/,"535-536, Pocket- B, Sec 16 B, New Delhi Pin: 110078 Delhi",,91-97112 95566,abvsps.delhi@gmail.com,http://www.abvsps.com,Namrata Sisodia,To regenerate the rhythm of life of the disadvantaged.,"For every child a home and education, for every adult the dignity of self – reliance and desire to give back to society.",,unreachable,,ConnectionError,,
"Acid Survivors Foundation India, New Delhi",https://ngosindia.org/delhi-ngos/acid-survivors-foundation-india-new-delhi/,"C2, Flat 2038 New Delhi Pin: 110070 Delhi",,91-98116 04892,acidsurvivorsfoundationindia@ymail.com,,Asha Chaudhry,To help acid and burn victims of violence.,"To help medically, psychologically, legally and rehabilitate victims of violence of acid and burns.",,no_website,,,,
"Action for Happy Life, New Delhi",https://ngosindia.org/delhi-ngos/action-for-happy-life-new-delhi/,"D-7 Krishna Park, Devli Road New Delhi Pin: 110062 Delhi",91-11-29972852,,actionforhappylife_2009@yahoo.com,,Sunil,,,,no_website,,,,
"Action in Community & Training, New Delhi",https://ngosindia.org/delhi-ngos/action-in-community-training-new-delhi/,"J 1 /72, DDA Flats, Kalkaji New Delhi Pin: 110019 Delhi",,91-93139 84414,act_ngo@yahoo.co.uk,http://www.act-ngo.org,Tapas Chatterjee,"Women, children & health development.","Care and protection for women and children, shgs formation, micro finance and micro enterprise, vocational training and education, health and awareness.",,unreachable,,ConnectionError,,
"Adamya Association, New Delhi",https://ngosindia.org/delhi-ngos/adamya-association-new-delhi/,"203, Aliganj Kotla, Mubarakpur New Delhi Pin: 110003 Delhi",91-11-64587384,91-98710 78179,adamya_2007@yahoo.co.in,,Sachin Panwar,"For saving environment, farmers, women and children.","Environment safety, women and children’s, empowerment, upliftment and development of farmers of rural areas.",,no_website,,,,
"Adarsh Seva Samiti, Delhi",https://ngosindia.org/delhi-ngos/adarsh-seva-samiti-delhi/,"106-A, LIG Flat, Pocket-E Delhi Pin: 110093 Delhi",91-11-22598499,,assi@in.com,http://www.adarshsevasamiti.org,Sita Ram Sharma,Social Services Redefine,Every paisa of the public fund or govt. grant is utilised in the most discreet manner towards its objective of public benefit.,,unreachable,,ConnectionError,,
"Adharsheela, New Delhi",https://ngosindia.org/delhi-ngos/adharsheela-new-delhi/,"L-20-C, Lalkuan New Delhi Pin: 110067 Delhi",,91-98105 18673,aadhershila2000@rediffmail.com,,Jairaj,Education to deaf blind children.,,,no_website,,,,
"Adharshila Trust, New Delhi",https://ngosindia.org/delhi-ngos/adharshila-trust-new-delhi/,"S 519, Greater Kailash II New Delhi Pin: 110048 Delhi",,91-98101 37592,adharshila@gmail.com,http://www.adharshilatrust.org,Neena Jolly,Community development,"Adharshila is a young NGO based in New Delhi, India whose mission is to build foundations at the grassroots level with dedication and sincerity.",,unreachable,,ConnectionError,,
"Adhikar Chetna, Delhi",https://ngosindia.org/delhi-ngos/adhikar-chetna-delhi/,"M-113/A, Luxmi Nagar Delhi Pin: 110092 Delhi",,91-98918 81058,adhikarngo@aol.in,,Amit Aggarwal,"Save energy, save girl child, pollution free environment.","Our mail goal to promte and educate people to save energy, save water, save girl child which is main factor. To promote people for their right and duties to provide medical insurance to poor people for better life.",,no_website,,,,
"ADHIKAR, New Delhi",https://ngosindia.org/delhi-ngos/adhikar-new-delhi/,"F-70, West Patel Nagar New Delhi Pin: 110008 Delhi",,91-98686 24555,mithilesh_law@yahoo.com,,Mithilesh Kumar,"Consumer act, rti, human right, women’s issues, labour right and corporate law.","If any person who want to legal help or advice regarding Consumer act, RTI, human right, women’s issues, labour right, child and corporate law etc.",,no_website,,,,
"Adi Gram Samiti, New Delhi",https://ngosindia.org/delhi-ngos/adi-gram-samiti-new-delhi/,"B-1/1106 A, Vasant Kunj New Delhi Pin: 110070 Delhi",91-11-26133994,91-98111 71752,agsamiti@vsnl.net,http://www.agsamiti.org,Vinod Kumar Kanathia,Collaboration,"Empowering women through education, vocational training, awareness programmes for health, environment, panchayti raj, RTI and economiclly strong and self reliant.",,likely_match,100.0,"ADI GRAM SAMITI: Save and educate girl child,  Education, Health, Women Empowerment, Nutrition, Research Evaluation Studies, Advocacy and Networking",,
"Aditi Foundation, New Delhi",https://ngosindia.org/delhi-ngos/aditi-foundation-new-delhi/,"252, Pocket-E, Mayur Vihar 2 New Delhi Pin: 110091 Delhi",,,aditifoundation@gmail.com,http://www.aditifoundation.blogspot.com,,Make people smile with self respect,"Our mission is to help people to be free from 3’P’s-physical, psychological and professional Problems by helping them in their sampurna vikas. So that they become self reliant, and full of self respect, and more aware and responsible citizens.",,likely_match,100.0,ADITI FOUNDATION,,
"Aditya Educational & Medical Society, Delhi",https://ngosindia.org/delhi-ngos/aditya-educational-medical-society-delhi/,"D 375, Hardev Puri Delhi Pin: 110093 Delhi",91-11-22810761,91-99683 14761,adityasociety@yahoo.com,,A.V. Singh,Education and health upliftment.,Upliftment of urban and rural poor in health and educational sector.,,no_website,,,,
"ADOPT, New Delhi",https://ngosindia.org/delhi-ngos/adopt-new-delhi-3/,"606, Ansal Bhawan, 16, Kasturba Gandhi Marg New Delhi Pin: 110001 Delhi","91-11-23313771, 91-11-23326754",,surendergusain@bizconindia.com,http://www.adoptfoundation.org,Alpana Mukherjee,"Upliftment of villages by providing facilities in health, education, water conservation, environment.",ADOPT provides opportunity for everyone to participate in its initiatives for the upliftment of the underprivileged.,,unreachable,,ConnectionError,,
"Aero Modelers Association, Delhi",https://ngosindia.org/delhi-ngos/aero-modelers-association-delhi/,,,98682 84131,president@amai.in,www.amai.in,Laxman Suthar,"Social Work Aim/Objective/Mission : Aero modelers association or ama is the first national body for aeromodeling in india, an associate member of aero club of india (aci). Ama promotes safe, secure and responsible aeromodeling in the country. Ama ensures all model flyers in india are recognized, responsible citizens and are covered by a valid third party insurance as a social responsibility. Ama has taken an education initiative by taking aeromodeling to the school level, to familiarize the young with the subject of aviation and promote a healthy and creative hobby. Ama holds national championship based on fai guidelines, once a year at a prominent flying club in india. Ama is the only association of india, who have represented india in the aero modeling world cup championship.",,,likely_match,100.0,Aero Modelers Association,,
"AFDWOSE – Action for Development & Welfare of Society & Environment, New Delhi",https://ngosindia.org/delhi-ngos/action-for-development-welfare-of-society-environment-new-delhi/,"A-16/1 Shaheen Bagh, Abul Fazal Enclave-II, Jamia Nagar Okhla New Delhi Pin: 110025 Delhi",91-11-29946350,"91-98109 04916, 91-97111 09697",afdose@gmail.com,http://www.afdwose.org,Dr. Asif Umar,"Education, health, NRM, water, women empowerment, child development, rural development, agriculture.","AFDWOSE focuses to bring about social transformation through community empowerment, capacity building and ecological development. Trust areas of work include Health, Education, women empowerment and improved water and land practices.",,unreachable,,ConnectionError,,
"AFI – Arthritis Foundation of India Trust, Delhi",https://ngosindia.org/delhi-ngos/afi-arthritis-foundation-of-india-trust-delhi/,"15 A, Pocket B, Mayur Vihar, Phase II Delhi Pin: 110091 Delhi",91-11-22732895,91-98101 13828,afi_india@rediffmail.com,http://www.arthfound.org,Gaurav,"Bone health ? a right, realize it.","AFI in its endeavour to take osteoporosis and Bone Health to common people is creating various communication programmes and we are hopeful that people will take full advantage of these programmes and ultimately attain our goal of total Bone Health. Our slogan is Bone Health ? a Right, Realize it.",,likely_match,100.0,"THR, Knee Pain, TKR, Hip pain – Arthfound, India",,
"AFPRO – Action for Food Production, New Delhi",https://ngosindia.org/delhi-ngos/afpro-action-for-food-production-new-delhi/,"21/1-A, Institutional Area, D Block New Delhi Pin: 110058 Delhi","91-11-28525452, 91-11-28525412",,afprodel@afpro.org,http://www.afpro.org,D. K. Manavalan Ias Retd,"Socio-technical support-water, watersheds, food security and livelihoods, renewable energy-rural areas.","Alleviating rural poverty by promoting and working through voluntary organizations, with a focus on enabling the marginalized and weaker sections of rural society to participate in the process of rural development by strengthening their resource base and capabilities through improved knowledge and skills, both in the technical and socio-economic development areas.",,unreachable,,SSLError,,
"Age Care Home Health Services, Delhi",https://ngosindia.org/delhi-ngos/age-care-home-health-services-uttarakhand/,,,91-98103 54822,aa976@rediffmail.com,,Adi,Aged care Aim/Objective/Mission : Look after the aged.,,,no_website,,,,
"Agewell Foundation, New Delhi",https://ngosindia.org/delhi-ngos/agewell-foundation-new-delhi-2/,"M 8 A, Lajpat Nagar II, Second Floor New Delhi Pin: 110024 Delhi",91-11-29836486,91-98100 30979,agewellfoundation@gmail.com,http://www.agewellfoundation.org,Himanshu Rath,Old age care,Agewell Foundation is committed to make a coordinated effort with compassion and understanding to transform social attitudes towards senior citizens. The effort is to create the infrastructure to empower every older person. Bring about a change in perceptions about old age. Initiate steps towards senior citizens friendly environment. Evolve a sense of moral and social responsibility towards senior citizens. Advocate for the needs and rights of senior citizens. Extend a helping hand to senior citizens wherever required.,,likely_match,100.0,(no title/meta found),,
Agriculture Health Education & Leisure for People,https://ngosindia.org/delhi-ngos/agriculture-health-education-leisure-for-people/,"WZ 334, 2nd Floor, Nangal Raya New Delhi Pin: 110046 Delhi",,"91-94133 64777, 91-97175 70583",ahelpindia@gmail.com,http://www.ahelp.in,"Ranjit Singhvi, Devojit Dutta","Funding in areas of agriculture, health, education & leisure.",To promote the interests of rural India in its chosen feilds. To create a mass information system to help the masses. To take corective steps by involving NGOs/ Socities who are desirous of working and are committed.,,likely_mismatch,20.0,(no title/meta found),,
"Agro Greens, Delhi",https://ngosindia.org/delhi-ngos/agro-greens-delhi/,"B-4483, Vasant Kunj New Delhi Pin: 110070 Delhi",,91-98111 53104,agrogreens@gmail.com,,Manish Koshal,Agro and environment funding,Providing services in the field of agro activities & animal husbandry services in rural areas as well as environmental services in urban areas.,,no_website,,,,
"AHF – Amity Humanity Foundation, New Delhi",https://ngosindia.org/delhi-ngos/ahf-amity-humanity-foundation-new-delhi/,"C-521, Defence Colony New Delhi Pin: 110024 Delhi",91-120-4391282,,ahf@amity.edu,http://www.amity.edu/ahf/,Dr. Chanda Rani Akhouri,"Education of girl child, hiv/aids advocacy, women empowerment, community development & environment.","AHF aims to undertake projects and programs in the areas of education and nurturing of girl children from the underprivileged sections of society, rehabilitation of persons with disability, community health with special reference to HIV/AIDS, rural upliftment programs, global warming & women empowerment.",,unreachable,,HTTPError,,
"AHSDA NGO – Amar Holistic Society for Disabled, Delhi",https://ngosindia.org/delhi-ngos/ahsda-ngo-amar-holistic-society-for-disabled-delhi/,"Amar Complex, B-24, Kanti Nager Shahdara Delhi Pin: 110051 Delhi",91-11-2098120,"91-98106 61110, 91-98111 92590",ahsdango@gmail.com,http://www.ahsdango.com,"Amar Nath Nagpal, Naseem Usman",Social welfare for disabled and under privileged class.,"Education, justice, health, employment for all.",,unreachable,,ConnectionError,,
"Ahwaan Foundation, Delhi",https://ngosindia.org/delhi-ngos/ahwaan-foundation-delhi/,"1820/2, 1st Floor Gurudwara Road, Kotla Mubarakpur New Delhi Pin: 110049 Delhi",91-11-24508967,91-98113 81695,ahwaanfoundation@gmail.com,http://www.ahwaanfoundation.org,Ritesh Sharma,Youth engagement for child rights,"Ahwaan bal mukti aandolan -campaign against trafficking & commercial sexual exploitation of children, udaan – education project for urban deprived children. our vision is a world where all children are protected against exploitation and have every opportunity for development. Both our projects are aimed towards this end.",,unreachable,,ConnectionError,,
"AID, Delhi",https://ngosindia.org/delhi-ngos/aid-delhi/,"IIT Delhi, Delhi Delhi Pin: 110016 Delhi",91-11-26596175,,aid.delhi@gmail.com,http://wwwdelhi.aidindia.org,Selva,Eradicate illiteracy,"Learning humility, purity and simple-living from those who don’t take too much from the earth. Targeting the problems of hunger, disease and oppression that sadden their lives Inspiring in each other trust, Confidence and support for one another.",,unreachable,,ConnectionError,,
"AIDER, New Delhi",https://ngosindia.org/delhi-ngos/aider-new-delhi/,"292, DG3 New Delhi Pin: 110018 Delhi",,91-98918 65800,aiderindia@yahoo.in,,V K Jha,Global social health welfare for trust and science communication in rural villages for poor.,"To work for community development and welfare of the economically and socially backwards. To provide opportunity for educating economically poor and needy. To open educational institute for young, kids and unemployed youth. To organize seminars, symposium for young and old. To work for the educational upliftment of illiterate. To promote cultural and social activities by arranging cultural programmes and sports. To arrange competitions in every field of education for the growth of young, kids and youth by giving the prizes. To arrange, picnic and educational tour programmes. Computer facility will be provided for all. To provide free education for helpless and poor and also to rural areas.",,no_website,,,,
"Aids Care N Cure Society, New Delhi",https://ngosindia.org/delhi-ngos/aids-care-n-cure-society-new-delhi/,"139 J.K. Block, Laxmi Nagar New Delhi Pin: 110092 Delhi",91-11-22455675,"91-98100 81106, 91-98914 44998, 91-97114 15833","aidscarencuresociety@gmail.com, sunilpandey@aidscarencure.com, rakeshsharma@aidscarencure.com",http://www.aidscarencure.com,"Sunil Kumar Pandey, Raju Ram, Rakesh Sharma","Help for those peoples who are suffering from this disease, try to aware people to this disease.","To aware people, blood donation camps, keeping eye on ayurvedic treatment.",,unreachable,,ConnectionError,,
"AIEESWS – All India Environment & Educational Social Welfare Society, New Delhi",https://ngosindia.org/delhi-ngos/aieesws-all-india-environment-educational-social-welfare-society-new-delhi/,"Dwarka, New Delhi New Delhi Pin: 110059 Delhi",91-11-25636523,91-93505 28281,allindia2004@gmail.com,,Ram Kumar,Slum and sanitaion.,"A healthy and hygienic India, free of the practice of defecation in the open and faecal pollution of environment. A society free of untouchability, social discrimination and prevalence of thesub-human practice of manual cleaning of human excreta. To provide Sulabh-Shauchalayas in schools, especially in rural areas, sothat girls are not discouraged going to schools in absence of toilet facilities. To convert existing bucket/dry latrines into Sulabh-Shauchalayas to do awaywith the system of scavenging. To construct and maintain public toilets on pay and use basis.",,no_website,,,,
